PIN,Academic.Interest.1,Academic.Interest.2
N386119413208,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences"
N317119425208,Anthropology,Anthropology
N366119414209,Literature,Arts & Humanities
N328119421209,Literature,Anthropology
N361119425209,Economics,"Philosophy, Politics and Economics"
N343119425209,Psychology,Life Sciences
N313119408208,Economics,Undecided
N373119421209,"Mathematical, Computational and Statistical Sciences",Economics
N314119405208,"Mathematical, Computational and Statistical Sciences",Philosophy
N330119408209,Global Affairs,"Philosophy, Politics and Economics"
N381119423209,Global Affairs,Physical Sciences
N385119418207,Psychology,"Philosophy, Politics and Economics"
N384119414209,History,Global Affairs
N390119425207,Psychology,Life Sciences
N383119421208,Global Affairs,Arts & Humanities
N327119423209,Life Sciences,
N388119412207,Anthropology,Psychology
N378119413216,Anthropology,Undecided
N322119405209,Economics,"Philosophy, Politics and Economics"
N383119418209,Global Affairs,"Philosophy, Politics and Economics"
N334119402208,Global Affairs,"Philosophy, Politics and Economics"
N335119424209,Environmental Studies,Economics
N347119421208,Economics,Arts & Humanities
N332119414212,"Philosophy, Politics and Economics",Arts & Humanities
N355119423208,"Philosophy, Politics and Economics",Economics
N389119410207,Economics,Literature
N325119424219,Global Affairs,Psychology
N356119418209,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N325119412212,Literature,Anthropology
N345119424208,"Philosophy, Politics and Economics",Global Affairs
N331119418212,Psychology,"Philosophy, Politics and Economics"
N322119408208,History,"Philosophy, Politics and Economics"
N380119402207,Anthropology,Literature
N318119421219,Global Affairs,"Philosophy, Politics and Economics"
N392119421208,Economics,Life Sciences
N377119414207,Global Affairs,Life Sciences
N336119423209,Psychology,Economics
N359119412209,"Philosophy, Politics and Economics","Philosophy, Politics and Economics"
N392119423207,Urban Studies,Psychology
N324119425219,"Philosophy, Politics and Economics",Economics
N348119418208,Economics,Global Affairs
N307119425209,Undecided,Undecided
N368118423250,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N366119418208,Life Sciences,Life Sciences
N311119410209,"Philosophy, Politics and Economics",Global Affairs
N396119412208,Philosophy,"Mathematical, Computational and Statistical Sciences"
N305119401209,Anthropology,Environmental Studies
N381119424208,Literature,Arts & Humanities
N382119421209,"Philosophy, Politics and Economics",Global Affairs
N320119410209,Global Affairs,"Philosophy, Politics and Economics"
N359119413208,Life Sciences,Arts & Humanities
N309119424208,"Philosophy, Politics and Economics",Global Affairs
N321119421212,Urban Studies,Arts & Humanities
N324119413212,"Philosophy, Politics and Economics",Global Affairs
N300118421234,Urban Studies,Economics
N302119412208,Life Sciences,History
N351119401208,"Philosophy, Politics and Economics",Economics
N314119401209,Psychology,Environmental Studies
N327119424208,Urban Studies,"Philosophy, Politics and Economics"
N324119401208,Psychology,"Mathematical, Computational and Statistical Sciences"
N345119423209,Physical Sciences,Undecided
N312119410208,Life Sciences,Global Affairs
N348119414209,Anthropology,Global Affairs
N354119424208,Life Sciences,Psychology
N326119410212,Arts & Humanities,Economics
N304119405209,"Philosophy, Politics and Economics",Arts & Humanities
N338119418209,Global Affairs,Environmental Studies
N373119424207,Life Sciences,Physical Sciences
N346119423208,Life Sciences,Environmental Studies
N399119405208,"Mathematical, Computational and Statistical Sciences",Undecided
N301119412209,Economics,Life Sciences
N316116421296,"Philosophy, Politics and Economics",Undecided
N396119413207,Physical Sciences,Arts & Humanities
N363119423209,Economics,"Philosophy, Politics and Economics"
N378119410209,Life Sciences,Literature
N302119410209,"Mathematical, Computational and Statistical Sciences",Economics
N350119401209,"Philosophy, Politics and Economics",Global Affairs
N376119414208,Global Affairs,Anthropology
N308119425208,"Philosophy, Politics and Economics",Global Affairs
N318119424208,"Philosophy, Politics and Economics",History
N357119414209,Philosophy,Arts & Humanities
N362119424209,Arts & Humanities,Psychology
N325119402208,"Philosophy, Politics and Economics",Literature
N372119424208,Economics,"Mathematical, Computational and Statistical Sciences"
N361119402208,History,"Philosophy, Politics and Economics"
N356119421208,"Philosophy, Politics and Economics",Global Affairs
N335119425208,Arts & Humanities,"Philosophy, Politics and Economics"
N303119410208,"Mathematical, Computational and Statistical Sciences",Life Sciences
N337119423208,Philosophy,Global Affairs
N391119424207,Philosophy,Arts & Humanities
N368119413208,"Philosophy, Politics and Economics",Global Affairs
N383119423207,Anthropology,Global Affairs
N319119405212,Environmental Studies,"Philosophy, Politics and Economics"
N395117414218,Psychology,History
N371119425208,Economics,"Philosophy, Politics and Economics"
N349119414208,Physical Sciences,"Mathematical, Computational and Statistical Sciences"
N398119408208,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences"
N373119423208,Economics,Global Affairs
N324119402209,History,Global Affairs
N323119414212,"Philosophy, Politics and Economics",Literature
N314113414263,Anthropology,Global Affairs
N380119424209,Economics,"Philosophy, Politics and Economics"
N344119425208,"Mathematical, Computational and Statistical Sciences","Mathematical, Computational and Statistical Sciences"
N333119401208,Psychology,Undecided
N328119423208,Environmental Studies,Arts & Humanities
N352119402208,Economics,Arts & Humanities
N316119402208,Life Sciences,Physical Sciences
