PIN,Major,Academic.Interest.1,Academic.Interest.2
N303120413277,PHYSICAL SCIENCES,Life Sciences,Physical Sciences
N372120401276,DDP LAW,Global Affairs,"Philosophy, Politics and Economics"
N389120413276,PHYSICAL SCIENCES,Global Affairs,Environmental Studies
N370120401296,yet to declare,"Mathematical, Computational and Statistical Sciences",Economics
N369120418276,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,"Philosophy, Politics and Economics"
N378120414277,yet to declare,"Philosophy, Politics and Economics",Economics
N367120418296,GLOBAL AFFAIRS,Arts & Humanities,"Philosophy, Politics and Economics"
N399120412276,ECONOMICS,Economics,"Philosophy, Politics and Economics"
N317120401277,DDP LAW,Global Affairs,Literature
N356120423296,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Arts & Humanities
N313120412277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Undecided
N347120424277,ENVIRONMENTAL STUDIES,Environmental Studies,"Philosophy, Politics and Economics"
N385120421277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,Anthropology
N349120421277,GLOBAL AFFAIRS,Global Affairs,Economics
N302120414277,ENVIRONMENTAL STUDIES,Literature,Environmental Studies
N328120423297,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Life Sciences,Economics
N375120421296,HISTORY,Global Affairs,History
N386120421276,ENVIRONMENTAL STUDIES,Environmental Studies,"Philosophy, Politics and Economics"
N387120413296,URBAN STUDIES,Literature,Anthropology
N311120414277,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Economics
N308120425297,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N387120414277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Physical Sciences
N326120401277,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,"Mathematical, Computational and Statistical Sciences"
N341117402293,ANTHROPOLOGY,Life Sciences,Literature
N332120410277,PSYCHOLOGY,Psychology,Philosophy
N372120425296,URBAN STUDIES,Urban Studies,Environmental Studies
N381120402277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Arts & Humanities
N353120401277,PHYSICAL SCIENCES,Physical Sciences,Arts & Humanities
N374120423296,ECONOMICS,Economics,Life Sciences
N374120425276,URBAN STUDIES,"Philosophy, Politics and Economics",Anthropology
N307120401278,URBAN STUDIES,Anthropology,Arts & Humanities
N360120405296,PSYCHOLOGY,"Philosophy, Politics and Economics",Economics
N300120418278,"PHILOSOPHY, POLITICS AND ECONOMICS",Arts & Humanities,"Philosophy, Politics and Economics"
N368120414296,PSYCHOLOGY,Psychology,Life Sciences
N357120421296,HISTORY,"Philosophy, Politics and Economics",Undecided
N308120401277,yet to declare,"Mathematical, Computational and Statistical Sciences",Economics
N368120421276,HISTORY,History,"Philosophy, Politics and Economics"
N306120401297,ARTS AND HUMANITIES,Psychology,Arts & Humanities
N322120412277,GLOBAL AFFAIRS,Global Affairs,Psychology
N350120410277,DDP LAW,Psychology,Environmental Studies
N316120405277,ARTS AND HUMANITIES,Arts & Humanities,Arts & Humanities
N369120414277,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,Psychology
N396120414277,LIFE SCIENCES,Life Sciences,
N394120418296,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Mathematical, Computational and Statistical Sciences"
N378120413296,ENVIRONMENTAL STUDIES,Environmental Studies,Anthropology
N329120424277,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Anthropology
N376120418296,ENVIRONMENTAL STUDIES,Urban Studies,Environmental Studies
N351120408277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Life Sciences,Global Affairs
N365120424277,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N364120425277,ARTS AND HUMANITIES,Arts & Humanities,Anthropology
N331120408297,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N324120401297,HISTORY,"Philosophy, Politics and Economics",Global Affairs
N381120425296,DDP LAW,Arts & Humanities,Literature
N314120410277,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,Global Affairs
N303120408213,ANTHROPOLOGY,Environmental Studies,Urban Studies
N305120408278,PSYCHOLOGY,"Philosophy, Politics and Economics",Arts & Humanities
N392120423296,yet to declare,"Philosophy, Politics and Economics",History
N307120402297,PHYSICAL SCIENCES,Environmental Studies,"Mathematical, Computational and Statistical Sciences"
N319120425277,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,Economics
N339120423277,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",Arts & Humanities
N395120421276,DDP LAW,"Philosophy, Politics and Economics",Philosophy
N327120424297,ANTHROPOLOGY,Anthropology,Undecided
N389120412277,HISTORY,Psychology,"Philosophy, Politics and Economics"
N321120413277,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N369120413296,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N373120402276,GLOBAL AFFAIRS,Arts & Humanities,Literature
N334120405277,LIFE SCIENCES,Physical Sciences,Life Sciences
N359120418277,PSYCHOLOGY,Life Sciences,Psychology
N303120410297,PHYSICAL SCIENCES,Life Sciences,Physical Sciences
N318120402277,GLOBAL AFFAIRS,Global Affairs,"Philosophy, Politics and Economics"
N388120412296,ANTHROPOLOGY,Physical Sciences,Psychology
N315120401297,ENVIRONMENTAL STUDIES,Environmental Studies,Global Affairs
N352120405277,LITERATURE,History,"Philosophy, Politics and Economics"
N321120410297,ENVIRONMENTAL STUDIES,"Mathematical, Computational and Statistical Sciences",Physical Sciences
N301120418277,URBAN STUDIES,Psychology,Economics
N310120414278,PHILOSOPHY,"Philosophy, Politics and Economics",History
N332120405297,DDP LAW,"Philosophy, Politics and Economics",Environmental Studies
N333120401297,ECONOMICS,Economics,Economics
N358120421277,PHILOSOPHY,"Philosophy, Politics and Economics",Psychology
N380120405276,HISTORY,"Philosophy, Politics and Economics",Arts & Humanities
N302120412297,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Urban Studies
N335118418249,ENVIRONMENTAL STUDIES,Global Affairs,"Philosophy, Politics and Economics"
N374121423210,LIFE SCIENCES,Life Sciences,Psychology
