PIN,Major,Academic.Interest.1,Academic.Interest.2
N313106412255,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Philosophy, Politics and Economics",NA
N359107401288,LIFE SCIENCES,Life Sciences,NA
N303108421205,DDP LAW,Global Affairs,Psychology
N397110424273,PHILOSOPHY,Undecided,Philosophy
N308110412274,LIFE SCIENCES,"Philosophy, Politics and Economics",Psychology
N337110408274,PSYCHOLOGY,"Philosophy, Politics and Economics",Economics
N386110425292,"PHILOSOPHY, POLITICS AND ECONOMICS",History,Anthropology
N374110423297,ENVIRONMENTAL STUDIES,Psychology,Arts & Humanities
N379112424217,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N395112408223,"PHILOSOPHY, POLITICS AND ECONOMICS",NA,NA
N376112405225,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N330112423236,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,Literature
N331112421236,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",Economics
N332112418236,PHYSICAL SCIENCES,Physical Sciences,Literature
N333112414236,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N384112412241,DDP LAW,Economics,"Philosophy, Politics and Economics"
N385112421249,HISTORY,Life Sciences,Anthropology
N320112401251,ANTHROPOLOGY,Arts & Humanities,Philosophy
N381112413252,DDP LAW & GLOBAL AFFAIRS Major,Literature,Arts & Humanities
N306112413255,ANTHROPOLOGY,Arts & Humanities,Psychology
N384112402255,ECONOMICS,Economics,NA
N388112421255,HISTORY,Global Affairs,History
N370112412264,LITERATURE,History,Global Affairs
N358112414278,ARTS AND HUMANITIES,Psychology,Anthropology
N360112401278,PHYSICAL SCIENCES,Physical Sciences,NA
N362112425278,"PHILOSOPHY, POLITICS AND ECONOMICS",Arts & Humanities,History
N363112424278,ENVIRONMENTAL STUDIES,Physical Sciences,NA
N364112423278,LITERATURE,Global Affairs,Literature
N365112421278,GLOBAL AFFAIRS,Life Sciences,NA
N366112418278,DDP LAW & PSYCHOLOGY Major,Psychology,"Philosophy, Politics and Economics"
N367112414278,ARTS AND HUMANITIES,Arts & Humanities,Economics
N368112413278,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,NA
N370112402278,PSYCHOLOGY,Psychology,Economics
N372112424278,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N373112423278,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Anthropology
N374112421278,PHYSICAL SCIENCES,Life Sciences,Physical Sciences
N375112418278,LITERATURE,Literature,NA
N376112414278,GLOBAL AFFAIRS,Psychology,Arts & Humanities
N377112413278,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Arts & Humanities
N378112412278,ENVIRONMENTAL STUDIES,Psychology,Life Sciences
N380112425278,"PHILOSOPHY, POLITICS AND ECONOMICS",Arts & Humanities,Global Affairs
N381112424278,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,"Mathematical, Computational and Statistical Sciences"
N382112423278,URBAN STUDIES,Global Affairs,NA
N383112421278,"PHILOSOPHY, POLITICS AND ECONOMICS",Psychology,Undecided
N384112418278,DDP LAW,"Philosophy, Politics and Economics",Literature
N386112413278,PSYCHOLOGY,Psychology,Undecided
N387112412278,ANTHROPOLOGY,Literature,Psychology
N388112410278,ARTS AND HUMANITIES,NA,NA
N389112408278,DDP Law,Undecided,Undecided
N390112424278,ECONOMICS,Economics,Psychology
N391112423278,ANTHROPOLOGY,Global Affairs,NA
N392112421278,PSYCHOLOGY,Psychology,Arts & Humanities
N393112418278,ECONOMICS,"Philosophy, Politics and Economics",Global Affairs
N394112414278,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,NA
N396112412278,URBAN STUDIES,Global Affairs,Environmental Studies
N397112410278,ANTHROPOLOGY,Undecided,Undecided
N398112408278,ANTHROPOLOGY,Global Affairs,Literature
N399112405278,URBAN STUDIES,Anthropology,Environmental Studies
N300112413279,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major","Philosophy, Politics and Economics",NA
N301112412279,ECONOMICS,"Mathematical, Computational and Statistical Sciences",NA
N302112410279,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N303112408279,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",Global Affairs,"Philosophy, Politics and Economics"
N304112405279,ARTS AND HUMANITIES,Arts & Humanities,Literature
N305112401279,URBAN STUDIES,Urban Studies,Anthropology
N306112402279,PSYCHOLOGY,Anthropology,History
N307112425279,DDP LAW,Arts & Humanities,Global Affairs
N308112424279,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N309112423279,"PHILOSOPHY, POLITICS AND ECONOMICS",Undecided,Undecided
N310112412279,"PHILOSOPHY, POLITICS AND ECONOMICS",Life Sciences,Arts & Humanities
N311112410279,PSYCHOLOGY,Psychology,Physical Sciences
N313112405279,ECONOMICS,Economics,History
N314112401279,PHILOSOPHY,"Philosophy, Politics and Economics",Anthropology
N315112402279,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Economics
N316112425279,LIFE SCIENCES,Life Sciences,NA
N317112424279,ECONOMICS,Economics,"Mathematical, Computational and Statistical Sciences"
N319112421279,PSYCHOLOGY,Economics,NA
N320112410279,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Arts & Humanities,NA
N321112408279,URBAN STUDIES,Global Affairs,Urban Studies
N322112405279,ARTS AND HUMANITIES,Undecided,NA
N323112401279,PSYCHOLOGY,Philosophy,"Philosophy, Politics and Economics"
N324112402279,ECONOMICS,"Philosophy, Politics and Economics",Literature
N325112425279,ENVIRONMENTAL STUDIES,Life Sciences,Environmental Studies
N326112424279,GLOBAL AFFAIRS,"Philosophy, Politics and Economics",Global Affairs
N327112423279,LITERATURE,Anthropology,Literature
N328112421279,DDP LAW,Arts & Humanities,Literature
N329112418279,PHILOSOPHY,History,Arts & Humanities
N330112408279,LIFE SCIENCES,Undecided,Undecided
N331112405279,PSYCHOLOGY,Anthropology,History
N332112401279,ENVIRONMENTAL STUDIES,Environmental Studies,Urban Studies
N333112402279,ANTHROPOLOGY,Anthropology,Global Affairs
N336112423279,ARTS AND HUMANITIES,Global Affairs,NA
N337112421279,ECONOMICS,Economics,Psychology
N338112418279,ANTHROPOLOGY,Anthropology,Undecided
N339112414279,ENVIRONMENTAL STUDIES,"Philosophy, Politics and Economics",Global Affairs
N340112405279,URBAN STUDIES,Arts & Humanities,Anthropology
N342112402279,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,NA
N343112425279,GLOBAL AFFAIRS,Physical Sciences,NA
N344112424279,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",Global Affairs
N346112421279,PSYCHOLOGY,Literature,Philosophy
N347112418279,PSYCHOLOGY,Psychology,Philosophy
N349112413279,URBAN STUDIES,"Philosophy, Politics and Economics",NA
N350112401279,ENVIRONMENTAL STUDIES,Economics,NA
N351112402279,GLOBAL AFFAIRS,Economics,Global Affairs
N352112425279,DDP LAW,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics"
N353112424279,ARTS AND HUMANITIES,Anthropology,Arts & Humanities
N354112423279,ECONOMICS,Economics,Philosophy
N355112421279,ANTHROPOLOGY,Global Affairs,Psychology
N356112418279,GLOBAL AFFAIRS,Global Affairs,"Philosophy, Politics and Economics"
N391113401219,ENVIRONMENTAL STUDIES,"Philosophy, Politics and Economics",Arts & Humanities
N392113402219,HISTORY,Arts & Humanities,"Philosophy, Politics and Economics"
N393113425219,DDP LAW,"Philosophy, Politics and Economics",NA
N394113424219,HISTORY,Global Affairs,"Philosophy, Politics and Economics"
N395113423219,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Arts & Humanities,Life Sciences
N396113421219,"PHILOSOPHY, POLITICS AND ECONOMICS",Literature,Arts & Humanities
N365113414221,ARTS AND HUMANITIES,Economics,NA
N366113413221,LIFE SCIENCES,Economics,NA
N367113412221,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES","Mathematical, Computational and Statistical Sciences",NA
N368113410221,HISTORY,History,NA
N369113408221,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,NA
N370113424221,LIFE SCIENCES,Arts & Humanities,NA
N372113421221,LIFE SCIENCES,Physical Sciences,NA
N374113414221,ECONOMICS,Psychology,NA
N376113412221,HISTORY,Arts & Humanities,NA
N377113410221,"PHILOSOPHY, POLITICS AND ECONOMICS","Philosophy, Politics and Economics",NA
N378113408221,GLOBAL AFFAIRS,Urban Studies,"Philosophy, Politics and Economics"
N379113405221,LITERATURE,Global Affairs,Literature
N380113423221,"PHILOSOPHY, POLITICS AND ECONOMICS",Environmental Studies,NA
N381113421221,ECONOMICS,Undecided,NA
N382113418221,GLOBAL AFFAIRS,Global Affairs,NA
N385113412221,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,NA
N386113410221,ENVIRONMENTAL STUDIES,Economics,Arts & Humanities
N388113405221,PHILOSOPHY,Anthropology,Global Affairs
N389113401221,LITERATURE,Global Affairs,NA
N390113421221,ECONOMICS,Economics,NA
N308113412226,GLOBAL AFFAIRS,Global Affairs,Arts & Humanities
N309113410226,"PHILOSOPHY, POLITICS AND ECONOMICS",Global Affairs,History
N310113425226,PHYSICAL SCIENCES,Global Affairs,NA
N311113424226,ARTS AND HUMANITIES,Psychology,"Philosophy, Politics and Economics"
N312113423226,ENVIRONMENTAL STUDIES,Anthropology,NA
N313113421226,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Global Affairs,NA
N316113413226,ARTS AND HUMANITIES,Arts & Humanities,Psychology
N317113412226,URBAN STUDIES,Economics,"Philosophy, Politics and Economics"
N318113410226,ECONOMICS,Economics,Global Affairs
N319113408226,URBAN STUDIES,Global Affairs,NA
N320113424226,LITERATURE,Literature,NA
N321113423226,ANTHROPOLOGY,Anthropology,Arts & Humanities
N323113418226,URBAN STUDIES,Economics,"Philosophy, Politics and Economics"
N324113414226,ENVIRONMENTAL STUDIES,Life Sciences,NA
N325113413226,HISTORY,"Philosophy, Politics and Economics",NA
N326113412226,ARTS AND HUMANITIES,Psychology,Philosophy
N327113410226,LITERATURE,Literature,Arts & Humanities
N328113408226,DDP LAW,Urban Studies,"Philosophy, Politics and Economics"
N329113405226,HISTORY,History,Literature
N331113421226,LIFE SCIENCES,Life Sciences,Physical Sciences
N332113418226,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Physical Sciences,NA
N333113414226,HISTORY,Literature,Arts & Humanities
N398113418236,ANTHROPOLOGY,"Philosophy, Politics and Economics",Global Affairs
N325113408238,ANTHROPOLOGY,Psychology,Economics
N332113424241,ANTHROPOLOGY,Arts & Humanities,"Philosophy, Politics and Economics"
N331109413242,HISTORY,History,"Philosophy, Politics and Economics"
N339112413213,ANTHROPOLOGY,Life Sciences,Undecided
N378112402216,PHYSICAL SCIENCES,Physical Sciences,NA
N311112425217,ANTHROPOLOGY,Literature,Psychology
N312112410220,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Life Sciences,Psychology
N323113418280,ARTS AND HUMANITIES,Arts & Humanities,Literature
N324113414280,DDP LAW,Global Affairs,Philosophy
N325113413280,HISTORY,History,Arts & Humanities
N326113412280,HISTORY,"Philosophy, Politics and Economics",NA
N327113410280,ANTHROPOLOGY,Life Sciences,"Philosophy, Politics and Economics"
N328113408280,ARTS AND HUMANITIES,Philosophy,Psychology
N329113405280,HISTORY,History,Arts & Humanities
N330113423280,ECONOMICS,Urban Studies,Urban Studies
N331113421280,URBAN STUDIES,Global Affairs,Undecided
N332113418280,HISTORY,Global Affairs,"Philosophy, Politics and Economics"
N334113413280,URBAN STUDIES,Economics,Literature
N335113412280,LITERATURE,Philosophy,NA
N336113410280,DDP LAW,"Philosophy, Politics and Economics",Economics
N337113408280,PSYCHOLOGY,Psychology,Environmental Studies
N340113421280,PSYCHOLOGY,Psychology,"Philosophy, Politics and Economics"
N341113418280,LIFE SCIENCES,Life Sciences,Undecided
N342113414280,ANTHROPOLOGY,Anthropology,NA
N343113413280,LIFE SCIENCES,Psychology,NA
N344113412280,HISTORY,"Philosophy, Politics and Economics",Arts & Humanities
N345113410280,PSYCHOLOGY,Urban Studies,Arts & Humanities
N346113408280,ANTHROPOLOGY,Global Affairs,"Philosophy, Politics and Economics"
N347113405280,"PHILOSOPHY, POLITICS AND ECONOMICS",Economics,Global Affairs
N348113401280,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",Economics,"Philosophy, Politics and Economics"
N349113402280,ECONOMICS,Global Affairs,"Philosophy, Politics and Economics"
N350113418280,DDP LAW,Global Affairs,"Philosophy, Politics and Economics"
N352113413280,ECONOMICS,Life Sciences,Anthropology
N353113412280,URBAN STUDIES,Philosophy,Literature
N354113410280,HISTORY,Global Affairs,Arts & Humanities
N355113408280,PSYCHOLOGY,Life Sciences,Anthropology
N356113405280,LITERATURE,Arts & Humanities,NA
