"PIN","Admit.Year","AI1","AI2","Major","LH1","LH2","PPT1","PPT2","CSI","MST","QR","Science"
"N313106412255",2014,"PPE",NA,"MCS",4.5,5,5.5,5,4.5,5,4.5,2.83333333333333
"N359107401288",2014,"LS",NA,"LS",3.5,4,4.5,4,3,4.5,4.5,3.375
"N308110412274",2014,"PPE","PSY","LS",4.5,4.5,5,4.5,5,4,4.5,2.83333333333333
"N337110408274",2014,"PPE","ECON","PSY",4,4,3.5,4.5,4.5,4,5,3.16666666666667
"N386110425292",2014,"HIST","ANTH","PPE",4,4.5,5,4.5,4,4.5,3.5,2.83333333333333
"N374110423297",2014,"PSY","ARTS HUM","ES",3.5,4.5,3.5,4,3.5,4.5,4,2.66666666666667
"N379112424217",2014,"PPE",NA,"PPE",4.5,4.5,3,4.5,4,5,4,2.66666666666667
"N376112405225",2014,"MCS",NA,"MCS",4,4.5,3.5,3.5,3.5,4,3.5,3.25
"N330112423236",2014,"LS","LIT","PPE",4,5,4.5,4,3,4.5,4,3
"N331112421236",2014,"MCS","ECON","MCS",2,4,4,2,4,3.5,4,3.75
"N332112418236",2014,"PS","LIT","PS",3,3,3.5,4,2.5,4,4,3.125
"N333112414236",2014,"PPE","GA","GA",4,4,4.5,4,3,4,2.5,2.5
"N385112421249",2014,"LS","ANTH","HIST",4.5,4,4,4,3,4,3.5,2.33333333333333
"N320112401251",2014,"ARTS HUM","PHIL","ANTH",3.5,2.5,4.5,3,3.5,4,4.5,2.66666666666667
"N306112413255",2014,"ARTS HUM","PSY","ANTH",4.5,4,4.5,4.5,4,4,3,2.66666666666667
"N384112402255",2014,"ECON",NA,"ECON",4,4.5,4.5,4,5,4,5,3.16666666666667
"N388112421255",2014,"GA","HIST","HIST",4,4,3.5,4,3,4.5,5.5,2.83333333333333
"N370112412264",2014,"HIST","GA","LIT",3.5,5,3.5,3.5,2.5,3.5,2,2.16666666666667
"N358112414278",2014,"PSY","ANTH","ARTS HUM",3,4.5,3,4,3.5,4,3,2.66666666666667
"N360112401278",2014,"PS",NA,"PS",3,3.5,4,4,4,4.5,5,3
"N362112425278",2014,"ARTS HUM","HIST","PPE",4,4,4,3.5,3.5,4,3.5,2.5
"N363112424278",2014,"PS",NA,"ES",3.5,4,4,4,3.5,4.5,4,3.125
"N364112423278",2014,"GA","LIT","LIT",5,4.5,4,4,3.5,4,3.5,2.66666666666667
"N365112421278",2014,"LS",NA,"GA",3.5,4.5,4,4.5,3,4.5,4,3.5
"N367112414278",2014,"ARTS HUM","ECON","ARTS HUM",3,4,3,4,3.5,3.5,3.5,2
"N368112413278",2014,"PS",NA,"MCS",4,4,4,4,4.5,4,3.5,3.875
"N370112402278",2014,"PSY","ECON","PSY",5,4,5,3.5,4,4,4,3
"N372112424278",2014,"PPE",NA,"PPE",3.5,3.5,4,4,3.5,3.5,4.5,2.66666666666667
"N373112423278",2014,"LIT","ANTH","PPE",4,4.5,3.5,4.5,4,4,4.5,3.16666666666667
"N374112421278",2014,"LS","PS","PS",4,4.5,3,4.5,2.5,4.5,4.5,3.875
"N375112418278",2014,"LIT",NA,"LIT",3.5,5,4.5,4,3.5,3.5,4,3.16666666666667
"N376112414278",2014,"PSY","ARTS HUM","GA",3,4.5,3.5,4.5,4,4,3.5,2.83333333333333
"N377112413278",2014,"PPE","ARTS HUM","PPE",4,4,4,5,4.5,5,3,2.83333333333333
"N378112412278",2014,"PSY","LS","ES",5,4.5,4.5,5,4,4.5,4,2.66666666666667
"N380112425278",2014,"ARTS HUM","GA","PPE",3,3.5,2.5,2,3,3,3.5,2.16666666666667
"N381112424278",2014,"PS","MCS","MCS",4.5,3.5,3.5,2,3,4,4,3
"N382112423278",2014,"GA",NA,"US",4,4,4,4,4,4.5,4,2.66666666666667
"N383112421278",2014,"PSY",NA,"PPE",4,4.5,4,4.5,4,4.5,4,2.66666666666667
"N386112413278",2014,"PSY",NA,"PSY",3.5,4.5,3,3.5,3.5,4,4,2.5
"N387112412278",2014,"LIT","PSY","ANTH",3.5,3.5,3,4,3.5,4,4,2.16666666666667
"N390112424278",2014,"ECON","PSY","ECON",4,3.5,4,4,3.5,4,4,2.5
"N391112423278",2014,"GA",NA,"ANTH",4,4,4,3.5,4,4,4,2.5
"N392112421278",2014,"PSY","ARTS HUM","PSY",2.5,4,3,2.5,2,2,3,2.5
"N393112418278",2014,"PPE","GA","ECON",4,5,3.5,4.5,4.5,4,3.5,3.16666666666667
"N394112414278",2014,"ECON",NA,"PPE",3.5,4,4,4.5,3.5,4.5,3.5,2.66666666666667
"N396112412278",2014,"GA","ES","US",3,4,4.5,4,3.5,5,3,2.5
"N398112408278",2014,"GA","LIT","ANTH",4,4,4,4,4,4,3,2.83333333333333
"N399112405278",2014,"ANTH","ES","US",3,4,3,3.5,3.5,2.5,3,2.16666666666667
"N301112412279",2014,"MCS",NA,"ECON",4,4.5,4,5,3.5,5,4.5,3
"N302112410279",2014,"PPE","GA","GA",4,4,2,3.5,3.5,4,3,2.16666666666667
"N304112405279",2014,"ARTS HUM","LIT","ARTS HUM",4,4.5,3,3,4.5,4,4,1.66666666666667
"N305112401279",2014,"US","ANTH","US",5,4,4,4,3,4,4,2.83333333333333
"N306112402279",2014,"ANTH","HIST","PSY",4,3.5,3.5,4,3.5,4,4.5,2.5
"N308112424279",2014,"PPE","ECON","PPE",3.5,5,3.5,4,4.5,4,5.5,2.83333333333333
"N310112412279",2014,"LS","ARTS HUM","PPE",4,5,3,4,4,4,3.5,2.75
"N311112410279",2014,"PSY","PS","PSY",4,3.5,3.5,3.5,3.5,3.5,4,3
"N313112405279",2014,"ECON","HIST","ECON",3.5,4,3.5,3.5,4,3.5,4,2.66666666666667
"N314112401279",2014,"PPE","ANTH","PHIL",3,3.5,2.5,3.5,3.5,4,4,2.875
"N315112402279",2014,"PPE","ECON","PPE",4,4,4.5,3.5,3.5,4,3,2.66666666666667
"N316112425279",2014,"LS",NA,"LS",4.5,5,4,4.5,4,4.5,4,2.625
"N317112424279",2014,"ECON","MCS","ECON",3.5,3.5,4,3.5,3.5,4,4.5,2.5
"N319112421279",2014,"ECON",NA,"PSY",4,4.5,4.5,5,4,5,4.5,3.16666666666667
"N320112410279",2014,"ARTS HUM",NA,"MCS",4.5,4.5,4,4,4,4,5,3.33333333333333
"N321112408279",2014,"GA","US","US",4.5,5,4.5,3.5,4.5,4,3,2.33333333333333
"N323112401279",2014,"PHIL","PPE","PSY",3,4,3,2,3.5,2.5,4,2
