Major,PIN
PHYSICAL SCIENCES,N303120413277
DDP LAW,N372120401276
PHYSICAL SCIENCES,N389120413276
yet to declare,N370120401296
"PHILOSOPHY, POLITICS AND ECONOMICS",N369120418276
yet to declare,N378120414277
GLOBAL AFFAIRS,N367120418296
ECONOMICS,N399120412276
DDP LAW,N317120401277
"PHILOSOPHY, POLITICS AND ECONOMICS",N356120423296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N313120412277
ENVIRONMENTAL STUDIES,N347120424277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N385120421277
GLOBAL AFFAIRS,N349120421277
ENVIRONMENTAL STUDIES,N302120414277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N328120423297
HISTORY,N375120421296
ENVIRONMENTAL STUDIES,N386120421276
URBAN STUDIES,N387120413296
GLOBAL AFFAIRS,N311120414277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N308120425297
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N387120414277
"PHILOSOPHY, POLITICS AND ECONOMICS",N326120401277
ANTHROPOLOGY,N341117402293
PSYCHOLOGY,N332120410277
URBAN STUDIES,N372120425296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N381120402277
PHYSICAL SCIENCES,N353120401277
ECONOMICS,N374120423296
URBAN STUDIES,N374120425276
URBAN STUDIES,N307120401278
PSYCHOLOGY,N360120405296
"PHILOSOPHY, POLITICS AND ECONOMICS",N300120418278
PSYCHOLOGY,N368120414296
HISTORY,N357120421296
yet to declare,N308120401277
HISTORY,N368120421276
ARTS AND HUMANITIES,N306120401297
GLOBAL AFFAIRS,N322120412277
DDP LAW,N350120410277
ARTS AND HUMANITIES,N316120405277
"PHILOSOPHY, POLITICS AND ECONOMICS",N369120414277
LIFE SCIENCES,N396120414277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N394120418296
ENVIRONMENTAL STUDIES,N378120413296
"PHILOSOPHY, POLITICS AND ECONOMICS",N329120424277
ENVIRONMENTAL STUDIES,N376120418296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N351120408277
"PHILOSOPHY, POLITICS AND ECONOMICS",N365120424277
ARTS AND HUMANITIES,N364120425277
"PHILOSOPHY, POLITICS AND ECONOMICS",N331120408297
HISTORY,N324120401297
DDP LAW,N381120425296
"PHILOSOPHY, POLITICS AND ECONOMICS",N314120410277
ANTHROPOLOGY,N303120408213
PSYCHOLOGY,N305120408278
yet to declare,N392120423296
PHYSICAL SCIENCES,N307120402297
"PHILOSOPHY, POLITICS AND ECONOMICS",N319120425277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N339120423277
DDP LAW,N395120421276
ANTHROPOLOGY,N327120424297
HISTORY,N389120412277
GLOBAL AFFAIRS,N321120413277
GLOBAL AFFAIRS,N369120413296
GLOBAL AFFAIRS,N373120402276
LIFE SCIENCES,N334120405277
PSYCHOLOGY,N359120418277
PHYSICAL SCIENCES,N303120410297
GLOBAL AFFAIRS,N318120402277
ANTHROPOLOGY,N388120412296
ENVIRONMENTAL STUDIES,N315120401297
LITERATURE,N352120405277
ENVIRONMENTAL STUDIES,N321120410297
URBAN STUDIES,N301120418277
PHILOSOPHY,N310120414278
DDP LAW,N332120405297
ECONOMICS,N333120401297
PHILOSOPHY,N358120421277
HISTORY,N380120405276
GLOBAL AFFAIRS,N302120412297
ENVIRONMENTAL STUDIES,N335118418249
LIFE SCIENCES,N374121423210
ENVIRONMENTAL STUDIES,N378120418276
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N380119410203
LIFE SCIENCES,N373120425277
yet to declare,N385120418296
HISTORY,N353120402296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N310120413297
ENVIRONMENTAL STUDIES,N361120401296
ECONOMICS,N349120418296
URBAN STUDIES,N379120412296
ANTHROPOLOGY,N371120402296
PHYSICAL SCIENCES,N317120425297
"PHILOSOPHY, POLITICS AND ECONOMICS",N392120424277
GLOBAL AFFAIRS,N362120401277
ECONOMICS,N315120405278
ECONOMICS,N305120405297
URBAN STUDIES,N313120408297
ARTS AND HUMANITIES,N391120402276
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N372120402277
yet to declare,N312120410297
ANTHROPOLOGY,N399120410277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N361120405277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N309120425278
LITERATURE,N394120423276
GLOBAL AFFAIRS,N304120412277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N363114413299
ENVIRONMENTAL STUDIES,N334120402297
DDP LAW,N300120414297
ARTS AND HUMANITIES,N327120402277
GLOBAL AFFAIRS,N362120402296
"PHILOSOPHY, POLITICS AND ECONOMICS",N392120425276
ENVIRONMENTAL STUDIES,N305120410277
PSYCHOLOGY,N395120414296
ANTHROPOLOGY,N393120421296
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N391120425277
PSYCHOLOGY,N370120405277
URBAN STUDIES,N397120413277
ANTHROPOLOGY,N382120424296
"PHILOSOPHY, POLITICS AND ECONOMICS",N316120402297
ENVIRONMENTAL STUDIES,N392120413260
"PHILOSOPHY, POLITICS AND ECONOMICS",N320120412297
PSYCHOLOGY,N300120421277
PSYCHOLOGY,N323120410277
GLOBAL AFFAIRS,N352120401296
ENVIRONMENTAL STUDIES,N375120424276
GLOBAL AFFAIRS,N323118412206
URBAN STUDIES,N397121412210
LIFE SCIENCES,N384120421296
LITERATURE,N391120424296
LITERATURE,N388120414276
PSYCHOLOGY,N336120402277
URBAN STUDIES,N374120424277
yet to declare,N323120405297
URBAN STUDIES,N363120402277
URBAN STUDIES,N375121421210
ANTHROPOLOGY,N347120423296
ECONOMICS,N338120421297
ENVIRONMENTAL STUDIES,N310120418277
yet to declare,N306120408277
"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",N388120413277
"PHILOSOPHY, POLITICS AND ECONOMICS",N376120421277
ANTHROPOLOGY,N314120408278
LIFE SCIENCES,N336120424297
ANTHROPOLOGY,N311120413278
ANTHROPOLOGY,N377120418277
PSYCHOLOGY,N346120425277
GLOBAL AFFAIRS,N313120410278
PHYSICAL SCIENCES,N348120423277
ENVIRONMENTAL STUDIES,N360120408277
ECONOMICS,N324120408277
PHILOSOPHY,N309120424297
LITERATURE,N387120418276
URBAN STUDIES,N306120405278
