"PIN","Admit.Year","Academic.Interest.1","Academic.Interest.2","Major","Real.Grade.Numeric.Literature and Humanities 1","Real.Grade.Numeric.Literature and Humanities 2","Real.Grade.Numeric.Philosophy and  Political Thought 1","Real.Grade.Numeric.Philosophy and  Political Thought 2","Real.Grade.Numeric.Comparative Social Inquiry","Real.Grade.Numeric.Modern Social Thought","Real.Grade.Numeric.Quantitative Reasoning","Real.Grade.Numeric.Science"
"N362112425278",2014,"Arts & Humanities","History","PHILOSOPHY, POLITICS AND ECONOMICS",0,4.5,0,4,0,4.5,4,2.83333333333333
"N386113410221",2014,"Economics","Arts & Humanities","ENVIRONMENTAL STUDIES",0,5,0,3.5,0,5,4,3
"N374110423297",2014,"Psychology","Arts & Humanities","ENVIRONMENTAL STUDIES",0,5,0,4.5,0,5,4.5,3
"N367112414278",2014,"Arts & Humanities","Economics","ARTS AND HUMANITIES",0,4.5,0,4.5,0,4,4,2.33333333333333
"N376112414278",2014,"Psychology","Arts & Humanities","GLOBAL AFFAIRS",0,5,0,5,0,4.5,4,3.16666666666667
"N308112424279",2014,"Philosophy, Politics and Economics","Economics","PHILOSOPHY, POLITICS AND ECONOMICS",0,5.5,0,4.5,0,4.5,6,3.16666666666667
"N333113414226",2014,"Literature","Arts & Humanities","HISTORY",0,4.5,0,4,0,4.5,4,2.66666666666667
"N388113405221",2014,"Anthropology","Global Affairs","PHILOSOPHY",0,4,0,4.5,0,5.5,4,3
"N328112421279",2014,"Arts & Humanities","Literature","DDP LAW",0,4,0,3.5,0,4,4,2.83333333333333
"N377112413278",2014,"Philosophy, Politics and Economics","Arts & Humanities","PHILOSOPHY, POLITICS AND ECONOMICS",0,4.5,0,5.5,0,5.5,3.5,3.16666666666667
"N333112402279",2014,"Anthropology","Global Affairs","ANTHROPOLOGY",0,5.5,0,4,0,3.5,2.5,3
"N306112413255",2014,"Arts & Humanities","Psychology","ANTHROPOLOGY",0,4.5,0,5,0,4.5,3.5,3
"N353112424279",2014,"Anthropology","Arts & Humanities","ARTS AND HUMANITIES",0,4.5,0,3.5,0,3.5,2.5,2
"N337112421279",2014,"Economics","Psychology","ECONOMICS",0,4.5,0,4,0,4.5,5,3.16666666666667
"N387112412278",2014,"Literature","Psychology","ANTHROPOLOGY",0,4,0,4.5,0,4.5,4.5,2.5
"N393112418278",2014,"Philosophy, Politics and Economics","Global Affairs","ECONOMICS",0,5.5,0,5,0,4.5,4,3.5
"N391113401219",2014,"Philosophy, Politics and Economics","Arts & Humanities","ENVIRONMENTAL STUDIES",0,4,0,4,0,4.5,3.5,2
"N305112401279",2014,"Urban Studies","Anthropology","URBAN STUDIES",0,4.5,0,4.5,0,4.5,4.5,3.16666666666667
"N327112423279",2014,"Anthropology","Literature","LITERATURE",0,4.5,0,4.5,0,4.5,5,3
"N339112414279",2014,"Philosophy, Politics and Economics","Global Affairs","ENVIRONMENTAL STUDIES",0,5.5,0,4,0,5.5,5,3.16666666666667
"N346112421279",2014,"Literature","Philosophy","PSYCHOLOGY",0,4,0,4,0,4.5,4.5,3
"N390112424278",2014,"Economics","Psychology","ECONOMICS",0,4,0,4.5,0,4.5,4.5,2.75
"N386110425292",2014,"History","Anthropology","PHILOSOPHY, POLITICS AND ECONOMICS",0,5,0,5,0,5,4,3.16666666666667
"N381112424278",2014,"Physical Sciences","Mathematical, Computational and Statistical Sciences","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",0,4,0,2.5,0,4.5,4.5,3.375
"N396112412278",2014,"Global Affairs","Environmental Studies","URBAN STUDIES",0,4.5,0,4.5,0,5.5,3.5,2.83333333333333
"N394113424219",2014,"Global Affairs","Philosophy, Politics and Economics","HISTORY",0,5,0,5,0,5,3.5,1.33333333333333
"N308113412226",2014,"Global Affairs","Arts & Humanities","GLOBAL AFFAIRS",0,4,0,4,0,4,3.5,2.5
